epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.763,1.0401,0.57986,0.9194,0.94407,0.95861,0.94694,0.5391,1.42296,0.72729,1.05375,0.000540037,0.000540037,0.000540037
43,163.33,1.01847,0.58388,0.92422,0.94427,0.94815,0.93114,0.5437,1.38321,0.72592,1.04709,0.000531038,0.000531038,0.000531038
44,166.787,1.09579,0.61534,0.92391,0.95368,0.95256,0.94132,0.54768,1.30908,0.72064,1.02247,0.000522039,0.000522039,0.000522039
45,170.178,1.00434,0.58061,0.91876,0.9487,0.95484,0.95084,0.54571,1.31294,0.70479,1.01751,0.00051304,0.00051304,0.00051304
46,173.555,0.9942,0.57277,0.91181,0.93051,0.94635,0.93806,0.57006,1.2647,0.69912,1.01356,0.00050404,0.00050404,0.00050404
47,177.038,1.0355,0.57586,0.90797,0.94992,0.95256,0.9482,0.569,1.29798,0.71765,1.01622,0.000495041,0.000495041,0.000495041
48,180.64,0.99822,0.56654,0.89767,0.95018,0.95256,0.94086,0.55769,1.34937,0.71663,1.00674,0.000486042,0.000486042,0.000486042
49,184.004,1.01456,0.56388,0.89907,0.94171,0.95256,0.9415,0.55027,1.34218,0.73271,1.00866,0.000477043,0.000477043,0.000477043
50,187.374,0.98473,0.57283,0.90643,0.95561,0.95256,0.95078,0.55519,1.30113,0.70446,0.98987,0.000468044,0.000468044,0.000468044
51,190.75,1.00427,0.55657,0.91817,0.94685,0.95827,0.95162,0.55458,1.35026,0.71248,0.99204,0.000459045,0.000459045,0.000459045
52,194.157,1.0178,0.55958,0.92353,0.94966,0.95618,0.94192,0.54808,1.30412,0.71465,1.00504,0.000450046,0.000450046,0.000450046
53,197.476,1.00201,0.55353,0.90425,0.95172,0.95454,0.94115,0.55464,1.31674,0.7095,1.00932,0.000441047,0.000441047,0.000441047
54,201.013,1.01952,0.56129,0.91333,0.95165,0.95256,0.93809,0.5718,1.30448,0.68639,1.00043,0.000432048,0.000432048,0.000432048
55,204.383,0.98958,0.55397,0.9153,0.9453,0.95148,0.93178,0.56707,1.3366,0.70866,1.0075,0.000423049,0.000423049,0.000423049
56,207.73,0.95373,0.53202,0.89298,0.93418,0.95576,0.93281,0.56172,1.37258,0.74481,1.01441,0.000414049,0.000414049,0.000414049
57,211.057,0.97933,0.54279,0.9134,0.93133,0.95647,0.93365,0.57009,1.36285,0.72239,1.01672,0.00040505,0.00040505,0.00040505
58,214.56,0.97671,0.54357,0.91795,0.93846,0.95505,0.93495,0.5679,1.37741,0.68689,1.0227,0.000396051,0.000396051,0.000396051
59,217.958,0.98656,0.5428,0.89929,0.94652,0.95312,0.94312,0.58481,1.29982,0.67837,1.00144,0.000387052,0.000387052,0.000387052
60,221.371,0.97405,0.54987,0.90795,0.9439,0.95392,0.95805,0.59387,1.27491,0.69455,1.00483,0.000378053,0.000378053,0.000378053
61,224.865,0.96681,0.53478,0.903,0.94174,0.95745,0.9577,0.58829,1.2937,0.68167,1.01547,0.000369054,0.000369054,0.000369054
62,228.251,0.9566,0.52592,0.8943,0.953,0.95663,0.95282,0.57492,1.31522,0.67888,1.01159,0.000360055,0.000360055,0.000360055
63,231.598,0.92826,0.51933,0.89032,0.95517,0.95954,0.96164,0.58032,1.32522,0.67461,1.01209,0.000351056,0.000351056,0.000351056
64,235.2,0.94642,0.52901,0.89922,0.95525,0.95651,0.95091,0.58092,1.29306,0.68088,1.01368,0.000342057,0.000342057,0.000342057
65,238.644,0.91678,0.51379,0.88586,0.96305,0.95106,0.95071,0.57452,1.28593,0.68205,1.00976,0.000333058,0.000333058,0.000333058
66,241.985,0.95057,0.5276,0.89466,0.94357,0.95286,0.93485,0.56776,1.32751,0.67978,1.03205,0.000324058,0.000324058,0.000324058
67,245.41,0.90319,0.51029,0.88938,0.94096,0.95444,0.94556,0.57054,1.32237,0.69398,1.03487,0.000315059,0.000315059,0.000315059
68,249.504,0.93522,0.52265,0.88761,0.94126,0.96214,0.94752,0.56726,1.28766,0.75955,1.02011,0.00030606,0.00030606,0.00030606
69,252.917,0.93644,0.52618,0.88719,0.94923,0.95945,0.94959,0.57784,1.28452,0.72964,1.01179,0.000297061,0.000297061,0.000297061
70,256.386,0.94159,0.51176,0.89239,0.95702,0.94612,0.94311,0.59289,1.25301,0.65935,0.99908,0.000288062,0.000288062,0.000288062
71,259.741,0.95245,0.52215,0.89706,0.9537,0.94492,0.94234,0.58793,1.27107,0.64547,1.00112,0.000279063,0.000279063,0.000279063
72,263.198,0.9528,0.5177,0.89776,0.949,0.94429,0.9415,0.57915,1.29742,0.67639,1.02463,0.000270064,0.000270064,0.000270064
73,266.663,0.93595,0.51064,0.8978,0.94778,0.94575,0.94395,0.57059,1.3351,0.69483,1.03683,0.000261065,0.000261065,0.000261065
74,270.425,0.94945,0.52357,0.89716,0.94761,0.94575,0.94064,0.57897,1.33601,0.70469,1.03589,0.000252066,0.000252066,0.000252066
75,274.3,0.91032,0.51281,0.8938,0.94633,0.94669,0.94357,0.5848,1.33755,0.67788,1.03041,0.000243067,0.000243067,0.000243067
76,277.74,0.94033,0.51067,0.89217,0.94007,0.95293,0.94513,0.58089,1.32066,0.65628,1.04162,0.000234068,0.000234068,0.000234068
77,281.07,0.91998,0.49887,0.89212,0.94,0.95056,0.9466,0.59217,1.29993,0.64442,1.03533,0.000225068,0.000225068,0.000225068
78,284.61,0.88843,0.49483,0.8892,0.94452,0.95332,0.93971,0.59904,1.28534,0.64127,1.02636,0.000216069,0.000216069,0.000216069
79,288.168,0.923,0.4978,0.88217,0.94398,0.95263,0.94285,0.58943,1.3073,0.65538,1.02262,0.00020707,0.00020707,0.00020707
80,291.604,0.89526,0.4879,0.89011,0.94956,0.9588,0.95673,0.57243,1.33784,0.67902,1.02837,0.000198071,0.000198071,0.000198071
81,294.94,0.91752,0.49168,0.88967,0.94218,0.95251,0.94777,0.57588,1.35179,0.68937,1.03652,0.000189072,0.000189072,0.000189072
82,298.304,0.90055,0.49414,0.87788,0.94545,0.94836,0.94692,0.57611,1.34742,0.69738,1.0321,0.000180073,0.000180073,0.000180073
83,301.696,0.88544,0.48836,0.88024,0.94048,0.95213,0.94759,0.58666,1.31623,0.66854,1.02097,0.000171074,0.000171074,0.000171074
84,305.076,0.89755,0.48493,0.89066,0.93773,0.95597,0.95031,0.58218,1.31707,0.65587,1.01831,0.000162075,0.000162075,0.000162075
85,308.364,0.89598,0.48493,0.8817,0.93916,0.95571,0.95186,0.58618,1.31587,0.65291,1.01993,0.000153076,0.000153076,0.000153076
86,311.704,0.87406,0.48443,0.88796,0.95596,0.94179,0.95115,0.60488,1.27236,0.6543,1.02053,0.000144077,0.000144077,0.000144077
87,315.219,0.88938,0.47849,0.88289,0.95707,0.94155,0.95196,0.59657,1.27495,0.65489,1.01569,0.000135077,0.000135077,0.000135077
88,318.634,0.87271,0.4752,0.88547,0.94859,0.9618,0.9638,0.59184,1.29766,0.66378,1.00926,0.000126078,0.000126078,0.000126078
